Student ID,Subject_Knowledge,Explanation_Quality,Presentation_Quality,Assignment_Difficulty,Doubt_Resolution,Course_Structure,Extra_Support,Course_Recommendation,Event_Type,Department,Overall_Score,Satisfaction_Level,Feedback_Comment,Polarity,Subjectivity,Sentiment
340,5,2,7,6,9,2,1,8,Tech Talk,Civil,5.0,Medium,It was an alright session. Nothing extraordinary.,0.3333333333333333,1.0,Positive
253,6,5,8,6,2,1,2,9,Cultural Event,Civil,4.88,Medium,The event was okay. Some parts were interesting.,0.5,0.5,Positive
680,7,7,6,5,4,2,3,1,Guest Lecture,Civil,4.38,Medium,The event was okay. Some parts were interesting.,0.5,0.5,Positive
806,9,6,7,1,5,9,4,6,Cultural Event,Management,5.88,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
632,8,10,8,4,6,6,9,9,Cultural Event,Management,7.5,High,Fantastic session! The instructor explained concepts clearly.,0.3,0.6416666666666666,Positive
832,7,2,7,8,3,5,1,4,Seminar,Electronics,4.62,Medium,Some useful information but could be improved.,0.3,0.0,Positive
772,9,3,5,2,10,3,8,1,Guest Lecture,Computer Science,5.12,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
961,9,8,7,4,4,3,3,10,Guest Lecture,Civil,6.0,Medium,Decent workshop but the materials were outdated.,-0.11666666666666671,0.65,Negative
814,6,5,8,6,4,4,7,9,Guest Lecture,Electronics,6.12,Medium,Average experience. Could have been more interactive.,0.175,0.44999999999999996,Positive
863,5,9,4,7,9,4,4,5,Cultural Event,Computer Science,5.88,Medium,Average experience. Could have been more interactive.,0.175,0.44999999999999996,Positive
576,10,3,8,6,6,3,6,9,Tech Talk,Arts,6.38,Medium,The event met my basic expectations.,0.0,0.125,Neutral
702,8,4,7,1,2,1,8,8,Guest Lecture,Mechanical,4.88,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
541,5,4,4,2,2,7,8,1,Cultural Event,Management,4.12,Medium,The event was okay. Some parts were interesting.,0.5,0.5,Positive
552,5,6,7,2,7,4,4,2,Seminar,Arts,4.62,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
510,6,7,8,3,4,7,7,6,Tech Talk,Computer Science,6.0,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
159,7,7,6,6,3,9,3,1,Seminar,Arts,5.25,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
223,9,10,4,5,7,10,10,6,Tech Talk,Mechanical,7.62,High,Fantastic session! The instructor explained concepts clearly.,0.3,0.6416666666666666,Positive
807,8,3,4,2,2,4,6,1,Cultural Event,Computer Science,3.75,Low,Not worth attending. The topic was not covered properly.,-0.075,0.1,Neutral
525,9,9,4,3,5,5,9,2,Workshop,Arts,5.75,Medium,It was an alright session. Nothing extraordinary.,0.3333333333333333,1.0,Positive
799,5,6,5,4,2,1,1,7,Tech Talk,Management,3.88,Low,Poor organization and the speaker was not engaging.,-0.30000000000000004,0.6499999999999999,Negative
24,9,10,6,10,2,10,1,9,Seminar,Management,7.12,High,Loved the interactive nature of the event. Would attend again.,0.7,0.8,Positive
509,8,2,7,5,2,3,4,4,Cultural Event,Electronics,4.38,Medium,It was an alright session. Nothing extraordinary.,0.3333333333333333,1.0,Positive
797,9,10,4,10,9,2,10,7,Tech Talk,Arts,7.62,High,Loved the interactive nature of the event. Would attend again.,0.7,0.8,Positive
418,8,8,6,7,9,5,2,8,Workshop,Civil,6.62,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
48,5,5,4,2,1,10,10,9,Workshop,Arts,5.75,Medium,The event met my basic expectations.,0.0,0.125,Neutral
657,9,5,7,3,2,8,10,6,Guest Lecture,Computer Science,6.25,Medium,Average experience. Could have been more interactive.,0.175,0.44999999999999996,Positive
864,9,8,5,2,3,9,2,8,Guest Lecture,Computer Science,5.75,Medium,Average experience. Could have been more interactive.,0.175,0.44999999999999996,Positive
861,5,6,4,5,4,4,6,6,Seminar,Arts,5.0,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
118,9,10,7,7,4,6,9,1,Tech Talk,Mechanical,6.62,Medium,Fairly good session but lacked practical examples.,0.7,0.6000000000000001,Positive
387,7,3,8,1,6,8,6,8,Tech Talk,Management,5.88,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
282,5,6,7,3,8,1,1,9,Guest Lecture,Computer Science,5.0,Medium,The event was okay. Some parts were interesting.,0.5,0.5,Positive
503,8,6,6,3,3,6,4,10,Tech Talk,Management,5.75,Medium,The topic was interesting but execution was average.,0.175,0.44999999999999996,Positive
934,5,6,4,6,10,3,4,10,Tech Talk,Computer Science,6.0,Medium,The event met my basic expectations.,0.0,0.125,Neutral
781,8,3,4,5,1,8,10,5,Workshop,Electronics,5.5,Medium,Fairly good session but lacked practical examples.,0.7,0.6000000000000001,Positive
898,10,10,4,3,5,4,2,1,Guest Lecture,Civil,4.88,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
474,8,3,7,6,4,3,7,7,Cultural Event,Computer Science,5.62,Medium,Some useful information but could be improved.,0.3,0.0,Positive
704,9,9,8,6,8,4,8,5,Guest Lecture,Management,7.12,High,Excellent event! The speaker was very knowledgeable and engaging.,0.5333333333333333,0.6666666666666666,Positive
977,9,5,4,4,6,3,1,9,Cultural Event,Electronics,5.12,Medium,Decent workshop but the materials were outdated.,-0.11666666666666671,0.65,Negative
454,9,6,6,1,10,8,10,7,Workshop,Computer Science,7.12,High,Very informative and well-structured. Great learning opportunity.,0.5,0.525,Positive
295,5,7,6,3,1,7,2,9,Seminar,Mechanical,5.0,Medium,Some useful information but could be improved.,0.3,0.0,Positive
35,10,6,4,5,6,2,3,1,Tech Talk,Civil,4.62,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
304,9,9,4,6,5,1,7,2,Workshop,Computer Science,5.38,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
56,6,9,6,8,9,6,2,4,Tech Talk,Electronics,6.25,Medium,The event was okay. Some parts were interesting.,0.5,0.5,Positive
922,8,10,7,4,5,9,3,5,Seminar,Mechanical,6.38,Medium,The event was okay. Some parts were interesting.,0.5,0.5,Positive
569,10,7,6,9,2,6,2,5,Seminar,Arts,5.88,Medium,The event was okay. Some parts were interesting.,0.5,0.5,Positive
186,6,4,4,4,6,9,10,10,Workshop,Electronics,6.62,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
258,7,2,7,2,7,2,6,10,Seminar,Electronics,5.38,Medium,The event met my basic expectations.,0.0,0.125,Neutral
560,8,7,8,3,8,7,4,8,Cultural Event,Mechanical,6.62,Medium,Decent workshop but the materials were outdated.,-0.11666666666666671,0.65,Negative
621,10,4,5,1,5,10,1,10,Seminar,Electronics,5.75,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
568,10,7,4,6,10,8,10,8,Tech Talk,Mechanical,7.88,High,The best event I've attended this semester. Excellent content!,1.0,0.65,Positive
393,6,9,8,7,5,8,1,4,Tech Talk,Computer Science,6.0,Medium,Decent workshop but the materials were outdated.,-0.11666666666666671,0.65,Negative
12,8,10,7,2,8,9,6,6,Tech Talk,Mechanical,7.0,High,"Great workshop, learned a lot of practical skills. Highly recommend!",0.5,0.645,Positive
798,7,2,8,7,10,5,3,5,Tech Talk,Mechanical,5.88,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
740,8,10,7,3,2,10,10,1,Cultural Event,Civil,6.38,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
184,10,9,8,6,4,8,8,9,Guest Lecture,Mechanical,7.75,High,Fantastic session! The instructor explained concepts clearly.,0.3,0.6416666666666666,Positive
410,7,2,5,2,6,6,3,10,Workshop,Mechanical,5.12,Medium,Decent workshop but the materials were outdated.,-0.11666666666666671,0.65,Negative
480,10,6,7,8,5,3,1,5,Tech Talk,Arts,5.62,Medium,The topic was interesting but execution was average.,0.175,0.44999999999999996,Positive
84,7,4,6,10,7,7,8,9,Seminar,Computer Science,7.25,High,"Great workshop, learned a lot of practical skills. Highly recommend!",0.5,0.645,Positive
89,9,9,4,5,1,2,3,9,Tech Talk,Civil,5.25,Medium,The event met my basic expectations.,0.0,0.125,Neutral
763,6,9,6,7,6,10,2,5,Seminar,Arts,6.38,Medium,Some useful information but could be improved.,0.3,0.0,Positive
86,7,8,6,8,3,10,2,7,Seminar,Management,6.38,Medium,Decent workshop but the materials were outdated.,-0.11666666666666671,0.65,Negative
867,6,4,6,4,2,7,5,3,Tech Talk,Computer Science,4.62,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
248,6,6,4,6,6,6,2,3,Cultural Event,Computer Science,4.88,Medium,Some useful information but could be improved.,0.3,0.0,Positive
751,7,3,8,10,2,7,2,6,Seminar,Management,5.62,Medium,Average experience. Could have been more interactive.,0.175,0.44999999999999996,Positive
522,6,9,8,10,9,5,3,6,Seminar,Mechanical,7.0,High,Fantastic session! The instructor explained concepts clearly.,0.3,0.6416666666666666,Positive
696,5,5,4,9,3,1,8,6,Tech Talk,Arts,5.12,Medium,It was an alright session. Nothing extraordinary.,0.3333333333333333,1.0,Positive
274,8,2,4,7,10,8,5,8,Seminar,Electronics,6.5,Medium,Fairly good session but lacked practical examples.,0.7,0.6000000000000001,Positive
921,9,7,5,10,10,9,6,4,Seminar,Civil,7.5,High,Loved the interactive nature of the event. Would attend again.,0.7,0.8,Positive
957,6,2,7,8,5,9,5,4,Tech Talk,Electronics,5.75,Medium,Average experience. Could have been more interactive.,0.175,0.44999999999999996,Positive
88,9,4,4,9,9,9,7,10,Tech Talk,Management,7.62,High,Fantastic session! The instructor explained concepts clearly.,0.3,0.6416666666666666,Positive
149,5,6,5,1,8,9,7,8,Workshop,Computer Science,6.12,Medium,Fairly good session but lacked practical examples.,0.7,0.6000000000000001,Positive
737,7,9,4,5,5,2,2,1,Cultural Event,Computer Science,4.38,Medium,Fairly good session but lacked practical examples.,0.7,0.6000000000000001,Positive
891,7,2,4,9,6,9,7,9,Cultural Event,Civil,6.62,Medium,Some useful information but could be improved.,0.3,0.0,Positive
1,9,6,8,7,6,5,3,10,Seminar,Computer Science,6.75,Medium,Okay event. The time management could be better.,0.5,0.5,Positive
868,7,9,7,2,6,2,9,4,Cultural Event,Computer Science,5.75,Medium,It was an alright session. Nothing extraordinary.,0.3333333333333333,1.0,Positive
895,5,5,7,7,2,1,8,9,Seminar,Civil,5.5,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
638,9,10,8,2,1,1,4,8,Workshop,Arts,5.38,Medium,It was an alright session. Nothing extraordinary.,0.3333333333333333,1.0,Positive
707,5,6,6,5,1,9,6,9,Tech Talk,Arts,5.88,Medium,Some useful information but could be improved.,0.3,0.0,Positive
432,9,9,6,8,2,3,2,4,Tech Talk,Civil,5.38,Medium,The event met my basic expectations.,0.0,0.125,Neutral
988,7,4,6,7,6,9,7,1,Tech Talk,Management,5.88,Medium,The content was decent but the pace was too fast.,0.18333333333333335,0.6333333333333333,Positive
742,7,7,8,2,1,1,8,1,Cultural Event,Computer Science,4.38,Medium,Average experience. Could have been more interactive.,0.175,0.44999999999999996,Positive
730,6,5,4,5,6,6,7,2,Workshop,Computer Science,5.12,Medium,It was an alright session. Nothing extraordinary.,0.3333333333333333,1.0,Positive
